ID,Name,Start Time,Location,Host URL,Time Updated
27,Catholic Mass - Goodson Chapel,12/18/2016 11:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dda97066-00001c66demobedework%40mysite.edu_20161218T160000Z,2016-12-14 10:05:33.763708
28,Choral Evensong,12/18/2016 16:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-568e5692-0156-953746f9-00004e9bdemobedework%40mysite.edu_20161218T210000Z,2016-12-14 10:05:33.763714
29,A German Christmas: Music for Advent & Christmas,12/18/2016 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-55bf1264-0155-cba3c1c0-0000062fdemobedework%40mysite.edu,2016-12-14 10:05:33.763719
30,Youth Fellowship,12/18/2016 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56b915eb-0156-c334f3a4-000058e4demobedework%40mysite.edu_20161218T220000Z,2016-12-14 10:05:33.763724
31,Catholic Mass - Duke Chapel,12/18/2016 21:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dd94d9f5-000004bfdemobedework%40mysite.edu_20161219T020000Z,2016-12-14 10:05:33.763729
32, Final Examinations End (5 p.m.),12/19/2016 17:00,None,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-54c7ebdc-0154-edaa8ddc-000041ccdemobedework%40mysite.edu,2016-12-14 10:05:33.763735
33,Men's Basketball vs. Tennessee State,12/19/2016 19:00,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d8609343-0000227edemobedework%40mysite.edu,2016-12-14 10:05:33.763740
34,LIVE FOR LIFE @ Duke HealthCheck - DRAH 1305 Navaho Dr 4th Floor Classroom 440,12/20/2016 10:00,Duke Raleigh Hospital,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58726ff1-0158-78ffde03-00001b70demobedework%40mysite.edu,2016-12-14 10:05:33.763746
35,Duke Chapel by Candlelight: Christmas Open House,12/20/2016 12:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-584ad555-0158-6458c0a8-00001124demobedework%40mysite.edu,2016-12-14 10:05:33.763752
36,Evolution and Developmental Control of Epigenetic Poising in the Animal Germ Line,12/20/2016 14:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58b97e66-0158-c0024ea0-00007116demobedework%40mysite.edu,2016-12-14 10:05:33.763757
37,Duke Toastmasters Meeting,12/21/2016 7:00,Duke Credit Union 2200 W. Main Street,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57832023-0157-8a6e43ab-0000637ddemobedework%40mysite.edu_20161221T120000Z,2016-12-14 10:05:33.763763
38, LIVE FOR LIFE @ Duke Blood Pressure Screening - Duke (North) Hospital 6th Floor Staff Elevator Lobby,12/21/2016 10:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58726ff1-0158-78eb093b-00001239demobedework%40mysite.edu,2016-12-14 10:05:33.763769
40,Midweek Prayer,12/21/2016 11:30,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-b2677305-00004ac4demobedework%40mysite.edu_20161221T163000Z,2016-12-14 10:05:33.763784
41,PRATTically Speaking Toastmasters Club Meeting,12/21/2016 12:00,Hudson Hall 207,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5824363a-0158-30d65c14-0000534edemobedework%40mysite.edu_20161221T170000Z,2016-12-14 10:05:33.763790
42,Men's Basketball vs. Elon,12/21/2016 18:00,AwayNeutral Site Game See Description,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d8615d66-000022d3demobedework%40mysite.edu,2016-12-14 10:05:33.763796
43,Women's Basketball vs. Villanova,12/21/2016 19:00,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57dc1ede-0157-dd94fffa-000054efdemobedework%40mysite.edu,2016-12-14 10:05:33.763802
44,LIVE FOR LIFE @ Duke Blood Pressure Screening - DMP 1st Floor across from Gift Shop,12/22/2016 10:00,Duke Medical Pavilion,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58726ff1-0158-78edd066-0000128edemobedework%40mysite.edu,2016-12-14 10:05:33.763807
45,Christmas Eve Children's Service,12/24/2016 14:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57e1de10-0158-0818a891-00000c34demobedework%40mysite.edu,2016-12-14 10:05:33.763813
46,Christmas Eve Service of Carols and Holy Communion,12/24/2016 16:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57e1de10-0158-081acca0-00000c89demobedework%40mysite.edu,2016-12-14 10:05:33.763818
47,Catholic Mass - Christmas Eve,12/24/2016 17:00,Divinity School Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56b915eb-0156-bd27a375-000003fademobedework%40mysite.edu,2016-12-14 10:05:33.763824
48,Christmas Eve Worship Service,12/24/2016 18:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57e1de10-0158-081c375f-00000c8ademobedework%40mysite.edu,2016-12-14 10:05:33.763829
49,Christmas Eve Service of Lessons and Carols,12/24/2016 00:01,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57e1de10-0158-081def1d-00000c8bdemobedework%40mysite.edu,2016-12-14 10:05:33.763845
50, Godly Play (Langford Building),12/25/2016 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30b62e2-00006fd0demobedework%40mysite.edu_20161225T144500Z,2016-12-14 10:05:33.763877
51, Wee Praise (Westbrook Building),12/25/2016 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a3099922-00006f7bdemobedework%40mysite.edu_20161225T144500Z,2016-12-14 10:05:33.763885
52, Youth Sunday School (Westbrook Building),12/25/2016 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30e2e9f-00007079demobedework%40mysite.edu_20161225T144500Z,2016-12-14 10:05:33.763890
53, Adult Forum (Westbrook Building),12/25/2016 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a306dbfb-00006e86demobedework%40mysite.edu_20161225T144500Z,2016-12-14 10:05:33.763895
