ID,Name,Start Time,Location,Host URL,Time Updated
1,Football vs. UNC,11/10/2016 19:30,Wallace Wade Stadium,http://www.goduke.com/SportSelect.dbml?DB_OEM_ID=4200&SPID=1843&SPSID=22666&DB_OEM_ID=4200,11/9/2016 20:06
2,Cross Country NCAA SE Regional Championships,11/11/2016 11:00,"Charlottesville, VA",http://www.goduke.com/SportSelect.dbml?DB_OEM_ID=4200&SPID=1831&SPSID=22406&DB_OEM_ID=4200,11/9/2016 20:15
3,Goldman Sachs Info Session,10/20/2016 18:30,Washington Duke Inn,,11/9/2016 20:18
4,Aflac Group Insurance Info Session,11/10/2016 18:30,French Family Sciences Building - Room 2237,https://www.myinterfase.com/duke/CareerFair/Detail/Nkl3Q1VNMUt1SURkellndVg2b0gzc3piSUQ1Y0x4c0lIcDhTNEREM2cvQT01,11/9/2016 20:19
5,Catholic Mass - Goodson Chapel,11/13/2016 9:30,Divinity School Goodson Chapel,https://chapel.duke.edu/events/catholic-mass-goodson-chapel-1479047400-1479051000,11/9/2016 20:26
6,Veterans Day Service of Reflection and Commemoration,11/11/2016 12:00,,https://chapel.duke.edu/events/veterans-day-service-reflection-and-commemoration-1478883600-1478887200,11/9/2016 20:28
7,CHANTICLEER  'A CHANTICLEER CHRISTMAS',11/27/2016 19:30,Baldwin Auditorium,http://dukeperformances.duke.edu/calendar/chanticleer-%E2%80%A2-chanticleer-christmas,11/9/2016 20:32
8,"JEREMY DENK, PIANO",12/12/2016 20:00,Baldwin Auditorium,http://dukeperformances.duke.edu/calendar/jeremy-denk-piano-0,11/9/2016 20:39
